dataset,split,text,label,multilabel
n,test,"#DhoniKeepsTheGlove@ICC you are zero without dhoni like captain,person... http",0,
n,test,@user @user For interest of puplic she is speaking #DoctorsFightBack #doctors @user #MamataBanarjee,0,
n,test,Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC,0,
n,train,"@user Where were the IMA &amp; other associations when doctors were being hounded for a year after #BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power  #DoctorsFightBack #DoctorsProtest",0,
n,test,Acoustic &amp; Electric Guitar Kits from Rs.1699    http    Guitars &amp; Other Musical Instruments Upto 75% off    http    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0,
n,test,http    “This ruling sends a clear message that Muslim voices will not be silenced by threats and hate.” - @user via @user     @user helped represent Mr. Obeidallah.     #AntiMuslim #Islamophobia #Justice http,0,
n,test,"-50'C to -70'C avg. temp in #Siachen, in winters(avg. people feel cold +15'C)    In such #Skull freezing envrmnt #IndianArmy protect #us    But people like kanahiya kumar referred #IndianArmy as #rapist and supports who abuses and throw stones at #IndianArmy    http",0,
n,test,Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion   I am  a muslim pls stop speculating situation based on religion  Stop playing bloody politics   #MamtaBanerjee #DoctorsFightBack #India #westbengal #trinamool,0,
n,test,"Are you watching, Johnson?  #borisjohnson  #BorisJohnsonShouldNotBePM #incompetent http",0,
n,test,Well come to New Pakistan with new rates   #Budget2019 #PTIGovernment #imranhataomulkbachao http,0,
n,test,@user Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor http,0,
n,test,"just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember, question everything #Leadersdebate #BorisJohnsonShouldNotBePM http",0,
n,test,All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ http,0,
n,test,Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x http  #fucktrump #antitrump #votebluenomatterwho http,0,
n,train,Learn how to cover up the ground #ShameOnICC,0,
n,test,"We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.#ShameOnICC",0,
n,test,Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  http,0,
n,test,"Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump http",0,
n,test,#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer,0,
n,test,#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout http,0,
n,test,Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves http,0,
n,test,I want to know too!  Thanks @user for asking these questions !  #FuckTrump #BeBest #OrangeFoolius. http,0,
n,test,We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly  and people jailed there will be deterrence.  We doctors must win back the trust of the people. This will ensure political support for us.  #DoctorsFightBack,0,
n,test,Top 50 hashtags mentioning @user for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0  #MAGA #JohnMcCainDay #Trump2020 #DerangedDonald #Trump #TrumpIsATraitor #ImpeachTrumpNow #WWG1WGA #RT #ImpeachTrump   http,0,
n,test,"#DhoniKeepsTheGlove why only dhoni all the indian audience should also wear   the jersey and banner with 'Balidan' Insignia. Tv channels ,news papers and wherever possible should include this insignia.",0,
n,test,@user @user Except... Trump’s hand has already been caught in the cookie jar trying to get “dirt” on an opponent from Russia.     Remember... Trump Tower?     #TrumpIsATraitor   #ImpeachmentHearingsNow http,0,
n,test,"Crabs LIVE! Covering the lies of the sleazy, cheating #GOP! http ---&gt; 'Viva La Resistance!' #Trump #fucktrump #libcrib",0,
n,test,Livpure Glo 7L RO+UV + Mineralizer Water Purifier  @ Rs.9499 (mrp-15990)    http    More:  http    http    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0,
n,test,"The most awaited variant from #OnePlus - #OnePlus7Pro in Almond.  Buy Now on @user 👉https://t.co/yt4E7vkM32 with an EMI starting at just ₹2,495    #OnePlus7IsHere #oneplus7series #OnePlus7 #WorldBloodDonorDay #ShameOnICC #FridayMotivation #NBAFinals #FridayFeeling #WeTheNorth",0,
n,test,Ted Bundy’s final meal. He didn’t even pick at it. #execution #murderer #killer #tedbundy #breakfast #lethalinjection http,0,
n,train,@user  @user @user  Dear Sir please look at this video we all met Earlier Homeminster for #TGSFraud and #DreamZGKfraud Like you he also promised.#IMAfraud http  @user,0,
n,train,Dear @user this is world cup not a club cricket so please check the umpiring errors instead of @user gloves.  #DhoniKeepsTheGlove #DhoniKeepTheGlove   #DhoniKeSaathDesh,0,
n,test,#INDvsNZ toss be like....#ShameOnICC http,0,
n,train,"@user Instead of focusing on game, why have a unnecessary controversy. Is wearing a symbol only way to show respect. Rather Win the worldcup and dedicate it to our forces. It will give them more high n respect worldover. Its a matter of priority n  focus.#DhoniKeepsTheGlove",0,
n,test,Boris Johnson = chaos  @user  = stability    It really is as simple as that! #Toryleadership #BorisJohnsonShouldNotBePM http,0,
n,test,#DhoniKeepsTheGlove     What's wrong with @user   Dhoni is first a soldier then a cricketer.....   @user,0,
n,test,#DoctorsFightBack #PresidentsRule is only option TMC goons r not in control of @user http,0,
n,test,@user why is it okay? #DhoniKeepsTheGlove #DhoniKeSaathDesh http,0,
n,train,You #supportdhoni  #MSDHONI  #DhoniKeSaathDesh  #Dhoni ???  #BCCI  #CWC19  #DhoniKeepTheGloves  #DhoniKeepsTheGlove  #DhoniKeepBalidaanBadgeGlove  #BalidanBadge  #Balidan  #bbccricket  #CricketWorldCup2019  #WorldCup2019    Retweet 🔄 for #msdhonigloves   Like 👍 👇,0,
n,test,@user Did my part.    #Murderer,0,
n,test,Hypocrisy of the Indian elite    #SaveBengal #Savethedoctors #India #MamataLosingControl #MamataBanerjee #Kolkata #WestBengal #BengalDoctorsStrike @user @user @user @user @user #democracy #DoctorsFightBack #DoctorsStrike #DoctorsProtest http,0,
n,test,5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause.   History has been created as this is probably one of the biggest movement that has been carried out by the doctors.   #DoctorsFightBack http http,0,
n,test,Gabor nails it again. A voice of reason.  #BorisJohnsonShouldNotBePM http,0,
n,test,Few minutes left for Almond #OnePlus7Pro on @user   Available with #SBI Cash back of ₹2000 and up to 6 months No Cost EMI 💳    Quick hands on to buy it 👇    #OnePlus7 #OnePlus7IsHere #OnePlus7Pro #OnePlus  #WeTheNorth #ShameOnICC #FridayMotivation #FridayFeeling #NBAFinals,0,
n,test,AOC asks the FBI why they give white supremacists a pass #Resist #ResistTrump #FuckTrump http,0,
n,test,@user @user @user What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!!  #FuckTrump #Bluewave2020,1,
n,test,"Boris Johnson will lie about anything if it gives him an advantage. In the local elections he was forced to delete a tweet claiming to have just voted...BUT, there were no elections in his area! This Trump-like compulsive liar just can't stop himself... #BorisJohnsonShouldNotBePM http",0,
n,test,"Ian Bagg Part 4: He once told a feature act who asked to sell his album after the show, “Nope, they came for me, not you”     #Fact #DoucheBag #50YearOldMan #47viewedPodcast",0,
n,test,@user What a nasty lot #ToryLeadershipContest contenders have exposed themselves to be!  #ToryLeadershipContest   #BorisJohnsonShouldNotBePM,0,
n,test,Marlon Craft - Gang Shit (Official Music Video) http via @user @user #FuckTrump #CopsAreTheGang,0,
n,test,@user If we want to unite our country- we should commit that anyone who us scared to face a bit of public scrutiny shouldn't be allowed to run for Prime Minister...  #BorisJohnsonShouldNotBePM #BorisJohnson #ToryLeadership #ToryLeadershipDebate #ToriesOut,0,
n,test,Analysis: Sarah Sanders' legacy: The death of the White House press briefing #Resist #ResistTrump #FuckTrump http,0,
n,test,It's not a windmill.  It's not a fan.  It's a wind turbine and it's good for the environment.    #fucktrump http,0,
n,test,@user This is applaudable move by doctors. They save our lives. We must support them against the voilence. #Savethedoctors  #DoctorsFightBack,0,
n,test,This will not work we are not scapegoats.. centre should intervene. .  #DoctorsFightBack @user @user @user @user,0,
n,test,"Mitch McConnell, Too, Welcomes Russian Interference #Resist #ResistTrump #FuckTrump http",0,
n,test,"If a doctor needs to be assualted or killed for every patient who dies during treatment, then here is a list of people who also deserve the same fate. #Savethedoctors #SaveBengal #savethesaviour #SaveDoctors #DoctorsFightBack #DoctorsStrike #DoctorsProtest #doctor #DoctorStrike http",0,
n,test,@user Says the guy who killed the tree that Macron gave u for friendship n peace!! #sad #douchebag,0,
n,test,@user ...You're finally going to admit to something bad you did in the past?    #Juice #THEJUICEISLOOSE  #OJ #Simpson #Golf #course #Killer  Are you #OnTheHunt for the real #Killers?  #Murder #Redrum #Murderer?  #NicoleBrownSimpson #RonGoldman #Admit what you did #Comeclean  Tell the #truth http,0,
n,test,#BorisJohnsonShouldNotBePM he is already ducking and diving the 5 friendly candidates...God help us when it comes to to the 27 European countries!! http,0,
n,train,1.Death of Dr Payal Tadvi  2.Arresting of Dr kafeel khan  3.72 children die due to insufficient oxygen!  Where were these doctors?  #DoctorsStrike  #DoctorsFightBack #DoctorsProtest #Savethedoctors,0,
n,train,"Vinay Tewari, Consulting Editor: Global sporting events across the world work on volunteers &amp; I'm not too sure if #England is so badly placed that they can't hire 100 people as volunteers to push the cover to the ground #ShameOnICC http",0,
n,test,#IndianPsychiatricSociety stands by #IndianMedicalAssociation. Condemns #ViolenceAgainstDoctors  #DoctorsFightBack #SolidarityWithNRSMCH #StopViolenceAgainstDoctors @user http,0,
n,test,I urge every Indian to send mail to icc at enquiry@icc-cricket.com with this image asking them why he can’t keep the logo on that glove ?   #DhoniKeepTheGlove  #DhoniKeepsTheGlove http,0,
n,train,@user @user @user Japan disagrees...they saw something 'flying in' and then hitting the boat. #TrumpIsATraitor http,0,
n,test,@user In #India the severity of punishment for Holding just #bitcoin is equivalent the crime done by a #Rapist or a #Murderer Or #money Launderer or extortionist.   Really amazed to see where we are Heading.,0,
n,test,@user @user 2uat @user is doing they have objection on #DhoniKeepsTheGlove,0,
n,test,Do your job #Senators #MBS #Murderer http,0,
n,test,#Trump's Constant Attacks on #FreePress are Merciless Attacks on #Democracy's Foundation #FuckTrump #TrumpFascism #ImpeachTheMF #StopFascism #Drumpf #ResistTrump #FascistTrump #SaveDemocracy #Cult45 #NotMyPresident #StopHate  #DumpTrump #PutinsPuppet #FBR http,0,
n,test,@user @user Is there anything our so-called President does other than eating hamberder’s in bed and watching FauxNews while tweeting?    #LockTrumpUp  #ImpeachmentInquiryNow   #ImpeachTrump   #ImpeachBarr   #ImpeachMnuchin  #TrumpIsATraitor,0,
n,test,Meanwhile ....Dhoni's Reply To ICC ......    #DhoniKeepTheGlove #DhoniKeepsTheGlove   #DhoniKeSaathDesh  #dhonigloves #dhoni http,0,
n,train,अभी भी समय बचा हुआ है।   Shift the #ICCCricketWorldCup2019   In India.😂😂  We need rain.  @user  @user   @user   @user   @user   @user     #ShameOnICC,0,
n,train,"The whole #Dhoni’s gloves controversy during #CWC19, is outright immature &amp; mindless. I’d understand if there was anyone else you’d question the integrity &amp; intention  of, but not this guy. He is as pure &amp; genuine an ambassador of Sport, as you’ll ever get.     #DhoniKeepsTheGlove",0,
n,test,"@user @user Losing 1, 13 or 100 is the same level of disappointment, so is winning 1 or 100 it's the same level of achievement and should be rewarded with any level of celebration desired.. It's hard work rewarded, not charity! #douchebag",0,
n,test,@user Proactive? Directive from above !! .. it is shameful interpretation from a journalist .  Every movement has a turning point ...   It is Now or Never   #DoctorsFightBack   #StopViolenceAgainstDoctors http,0,
n,train,"@user to BCCI:: Sorry we cant allow Ms Dhoni to keep the Army Gloves.    @user reply:: Salaam thok, Sar Jhuka, Tu dum daba, Chal Rasta naap le..     #BalidanBadge #BalidanInsignia   #MSDHONI #IndiaWithDhoni #DhoniKeepsTheGlove #DhoniKeSathDesh   #BoycottWorldCup",0,
n,test,#etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt http #clothing #shirt #streetwear #trump #impeach #treason #traitor #fucktrump #impeachtrump http,0,
n,train,Trump downplays the time he said he’d take help from foreign actors offering dirt on 2020 Dems #Resist #ResistTrump #FuckTrump http,0,
n,train,@user @user Pay no attention to the draft dodging charlatan behind the curtain! LOL!   #fucktrump #DumbDonnyTheDraftDodgingDotard #DraftDodgerDonny,0,
n,test,#shameonicc  English:#ShameOnICC   Indian daily soaps: Bahr aapki thoo-thoo ho rhi h znab  @user 🤣😂🤣,0,
n,train,Has someone really just sent me a snap whilst doing 90mph in a lorry??? #dickhead,0,
n,train,@user @user @user Which hurts you the most? Duel citizenship; or not having a sanctuary city to hide in? #douchebag,0,
n,test,"Watch our short, dark comedy, Time to Kill. #movie #film #comedy #darkcomedy #raunchy #funny #laugh #laughoutloud #hitman #killer #kill #murder #phone #cellphone #action #thriller #gun #silencer #lube #condom #tense #tension #dog #boxer #cutedogs #murderer  http",0,
n,test,@user @user I just got back on Twitter a few weeks ago! I don’t have many followers so feel free to add me! 🤘🏻🇺🇸 #fucktrump,0,
n,test,@user 50% APPROVAL TO RESIGN!!!    #FUCKTRUMP  #FUCKTHATPUTO,0,
n,test,#TrumpIsATraitor Call your Member of Congress http,0,
n,test,"#DoctorsFightBack | 'We have no political colour. This is just us - doctors,' say protesting doctors at NRS Hospital in Kolkata refuting West Bengal CM Mamata Banerjee, even as doctors from across India stand with them http http",0,
n,test,@user “getting even”  ? lock up the cutlery #murderer,0,
n,test,"Wow, #fakeDonaldTrump discussing Venezuela and actually stating that he is always right.  Since #lierTrump is NEVER right, that is a bold (faced lie) statement.  When will the nightmare end?  When will congress #ImpeachTrump?  #idiotTrump",0,
n,test,"Oh Emma , Its not a competition also you already lost #FuckTrump http",0,
n,test,#INDvNZ | Cricket fans are venting their frustration with #ShameOnICC tweets and wondering why the ground staff could not cover the entire ground when the rain warning was given in advance.     Take a look at these tweets:    http,0,
n,test,#TrumpIsATraitor #TheResistance  Don't get me wrong there's nothing funny about what Trump said. On the other hand this is really amusing.  http,0,
n,test,"43 percent of the hate speech #Facebook initially removed was restored within 90 days, and 100% of these restored posts were Islamophobic in nature.Facebook in India Is Drowning in #AntiMuslim Hate Speech  #Islamophobia http via @user",0,
n,test,@user Oh he definitely would’ve sold out everybody. #trumpisatraitor #TrumpMustResign,0,
n,test,#FuckTrump 💩    $41-million settlement in 'Central Park Five' case gets final approval http,0,
n,train,@user You are. False journalists with agendas on none existant fabrications. #douchebag,0,
n,test,Goddamit #fucktrump http,0,
n,test,"Amrinder Singh Malhi, President, RDA , AIIMS: All resident doctors are back to work but we will continue with symbolic protest by wearing black badges, bandages&amp;helmets. If condition worsens we will go on indefinite strike from June 17.   #DoctorsFightBack http",0,
n,test,"@user Only in America can a murderer (come on, he did it) and convicted criminal immediately get half million followers. If you’re following, you’re condoning his actions and validating him. #OJdidit #conman #murderer",0,
n,train,No @user lawmakers with any guts? #TrumpIsATraitor http,0,
n,test,"@user I'll type slowly so you can understand.  The GOP originated the request for the Steele dossier before they made trump their nominee.  And Steele is a Brit (ally), not russian (adversary).  Clinton is not a traitor but @user is.  #TrumpIsATraitor   #GOPComplicitTraitors",0,
n,test,It could be the Tom &amp; Rory Show -    just got to get rid of the elephant in the room ..    #BorisJohnsonShouldNotBePM   #CorbynMustGo   #BollockstoBrexit http,0,
n,test,I love the selective memory &amp; projecting from the right when they get owned 🙌🏼  #HappyJohnMcCainDay2019   #CadetBoneSpurs #TrumpIsATraitor   #NPD   #FridayThoughts http,0,
n,test,"@user You know what else is crazy is when a murderer has to play the race card to get off &amp; even though everyone knows he did it, he claims he’s going to find the “real” killers.   #Murderer 🔪🔪",0,
n,test,@user #ShameOnICC Now plz stop it...,0,
n,test,"I appeal to all doctors in #WestBengal and throughout country, to return to work, as only poor people suffering, I assure I shall fight against Bengal Govt and Central govt for better security 2doctors! #DoctorsFightBack #savethedoctors Indian Medical Association #PrannoyRoy",0,
n,test,"If all remaining get washed :   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Bang - 8   SA - 6  Afg - 6  Semi Final  Aus vs NZ  (If rain continues), NZ  Eng vs Ind  (If rain continues), Ind  Final  Ind vs NZ  (If rain continues), NZ - India will win jointly 🤣🤣. #ShameOnICC",0,
n,train,What a honorable noble human being huh . #douchebag http,0,
n,test,"@user A beautiful jail cell with a beautiful notepad to write beautiful love letters to Putin, Lil Rocket Man, Xi, and MBS..oh yeah and a big beautiful painted mural of John McCain and Robert Mueller on his cell walls!    #FuckTrump",0,
n,test,@user Russian elected twit is #PutinsPuppet #TrumpIsATraitor http,0,
n,train,Oak Tree Given To #IdiotTrump By# Macron Dies Under Mysterious Circumstances http,0,
n,test,HUMP DAY #9   @user #FUCKTRUMP #VoteBlueNoMatterWho   @user   @user   @user   @user   @user   @user 💩🤣  @user   @user   @user   @user   @user  @user   @user   @user   @user http,0,
n,test,#FuckTrump and his Birthday http,0,
n,test,"Think about that guy, who had planned a trip to UK from India just to watch #IndVsNz , told all his friends about it, spent 3 lakh rupees on everything just to experience the same old rain.  #ShameOnICC",0,
n,test,@user Ex army men &amp; Tory MPs Rory Stewart &amp; Tobias Ellewood shudder at the thought of Boris as Pm in the year of the 75th anniversary of Dday. I wonder why! #whereswally #boris #BorisJohnsonShouldNotBePM #cowardsfollowcowards #absentfathers http,0,
n,train,@user It's pretty pathetic to have a social media acct dedicated to hating someone. 🙄 Ironic those people chanting things like #LoveTrumpsHate #LoveISLove are the same ones who say #FuckTrump. Hypocrites.,0,
n,test,“The One” who Slays Aussies 🏏 @user     #INDvAUS #CWC2019 #cwc19  #DhoniKeepsTheGlove,0,
n,train,"@user #murderer, think of it’s family!!!!",0,
n,test,@user @user Happy John McCain Day Cadet Bonespurs! #JohnMcCainDay #TrumpIsATraitor,0,
n,train,@user Has she gone looking for any remaining fragments of her soul? #Trump #TrumpIsATraitor,0,
n,test,@user @user Followed Ms. Goldman yesterday and blocked the #MURDERER yesterday. I've followed you since that bad boy sued you. Please follow me! http,0,
n,train,"@user @user Happy #JohnMcCainDay,  @user      #TrumpTheDraftDodger #McCainTrumpsBday #JohnMcCainAmericanHero #TrumpIsATraitor #JohnMcCainDay http",0,
n,test,1 Stop Fashion Women Kurta  @ Rs.199 (mrp-1107)    http    More 1 Stop Fashion Offers    http    http    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0,
n,test,"Kamala Harris’s plan to provide DREAMers a pathway to citizenship, explained #Resist #ResistTrump #FuckTrump http",0,
n,test,@user @user 🇺🇸The best way to show your   commitment to real criminal justice   reform would be to get rid of the   criminal in the White House. NOW!    #TrumpIsATraitor  #DoSomethingGOP,0,
n,test,@user FBI agents Struck and Paige were fired because they exercised freedom of speech speech #TrumpIsATraitor #45IsAcriminal #TrumpCrimeFamily #McConnellMustGo #McConnellChaoCorruption,0,
n,test,Correct. Now is not the time for moderation. You cannot be moderate with your head inside the tiger's mouth. #FuckTrump http,0,
n,test,Like Seriously!!! This is what i literally tell my friends everyday!    #Health #water #hydrated #healthy #WorldBloodDonorDay #NBAFinals #FridayMotivation #FridayFeeling #ShameonICC #WeTheNorth #instagramdown #India #meme #SarcasmOnly http,0,
n,test,#stopboris #BorisJohnsonShouldNotBePM   #borisdoesnotrepresentme   #C4Debate   @user     What an inspirational woman you are Francesca...    http,0,
n,test,A billion Cricket fans waited four years to watch how it rains in England and how the cricket grounds are becoming swimming pools  #ShameOnICC   #CWC19 http,0,
n,train,"#Chernobyl #ShameOnICC  Akimov: The turbine is going too slow for the test to deliver any valid results, &amp; If we add mor....  Dyatlov: http",0,
n,test,@user i appeal to all doctors through this channel ...    that   if you all are doing strike then do for years for all the responsible not for the common people who are helpless....    You all are second god .......    #DoctorsFightBack #DoctorsProtest #DoctorsStrike @user,0,
n,test,“Ron Goldman’s sister hails him as ‘hero’ in first interview since OJ Simpson trial” Source: http #RonGoldman #KimGoldman #FredGoldman #NicoleBrownSimpson #OJ #OJSimpson #TheJuice #Murderer,0,
n,test,@user @user @user I fully endorse You Sir.....     This is about our #NationalPride .......     I am of the Opinion #DhoniKeepsTheGlove,0,
n,test,@user Happy #JohnMcCainDay   #fucktrump   #AmericansForImpeachment,0,
n,test,Trump's GOP allies privately cringe at dirt comments #Resist #ResistTrump #FuckTrump http,0,
n,train,If u r living today it's bcoz of doctors.. #Savethedoctors #DoctorsFightBack #MamataLosingControl @user .... http,0,
n,test,Must Listen! I Stand With NRS http via @user #NRS #SAVEDOCTORS #India #NEWS #WestBengal #MamataLosingControl #DoctorsFightBack #DoctorsStrike #DoctorsProtest,0,
n,train,Anderson Cooper: All of Trump's threats were about nothing #Resist #ResistTrump #FuckTrump http,0,
n,test,@user Have some sense 😂 Just creating issue out of nothing #DhoniKeepsTheGlove,0,
n,test,#DhoniKeepTheGlove dear icc you may not know but that logo is not political nor religious it is a logo of a army regiment so ms dhoni did nothing wrong #DhoniKeepsTheGlove  icc please research on it,0,
