dataset,split,text,label,multilabel
b,test,"Question y'all....[NEWLINE][NEWLINE]Now I know every single network is gonna be showing the same feed, but where y'all tuning in?[NEWLINE][NEWLINE]CNN, MSNBC, CBS, NBC, ABC, FOX (yeah, no) or any others? Just curious who to watch![NEWLINE][NEWLINE]Comment below please![NEWLINE][NEWLINE]#VOTE [NEWLINE]#debates [NEWLINE]#Debates2020 [NEWLINE]#BidenHarris2020 [NEWLINE]🇺🇲🗳️🌊",0,
b,test,@user @user @user Another doctor. Another expert. Another Trump hater. #coronavirus #Trump2020,0,
b,test,@user NFW do I want to even hear tRump’s voice,1,
b,test,@user put every damn ad back on TV. trump is a liar and clearly isn’t sick.  No way he has Covid and then goes for a joy ride.  #BidenHarris2020  #jasonmillerisaliar,0,
b,test,In Hawaii smiles and MAGA Rallies just go together![NEWLINE][NEWLINE]#MAGA2020[NEWLINE]#HAWAII4TRUMP http,0,
b,test,@user is so Presidential.  How can anyone vote for anyone but #BidenHarris2020,0,
b,test,"Trump proves again that he is an ignorant, dangerous leader. @user proves he's willing to listen to and work with a diverse group of best and brightest in every field--that's what will make him a terrific POTUS #BidenHarris2020  http http",1,
b,test,"I went on a job site today &amp; all everybody was talking about was how @user destroyed Sleepy Joe last night. I would never have known all these people were for President Trump. 🔥In PHILADELPHIA!🔥 Silent no more, people are proudly admitting they are voting #MAGA2020",1,
b,test,"“When I talk, it’s not a rant, it’s a symphony of ideas” is the most Kanye West sentence of all time http",0,
b,test,@user @user @user Trump denied all the PEE tape BS-You may be part of the problem,0,
b,test,"BREAKING: Cindy McCain plans to endorse Joe Biden tomorrow, following the report that Trump called our fallen soldiers “losers” and “suckers.” Good. #JoeKnowsUs #BidenHarris2020 #BlueWave2020",0,
b,test,"This custody battle for America is so damn ghetto! Trump just let go, you’re deemed as Unfit Bro 🙄! #TrumpMeltdown #WednesdayThoughts #BidenHarris2020 #VoteHimOut #pleasevote",0,
b,test,@user @user @user Already voted. By mail. I tracked my ballot and it got to its destination and has been counted. #BidenHarris2020,0,
b,test,@user Biden voters need to be sent to China to see what dictatorship looks like,0,
b,test,This is a pretty amazing (accidental) admission by Trump that he expects to lose on November 3. http,0,
b,test,Trump has done what the libertarians have tried to do forever. Create an effective and separate governing entity in US politics. [NEWLINE]#TrumpsGOP,0,
b,test,Joe Biden wrote law about upscaling the oppressive police force and Kamala Harris enforced it. I couldn’t think of a better combo,0,
b,test,The biggest threat to our nation dwells within the White House. Vote Biden. Pass it on! #BidenHarris2020 http,1,
b,test,"Twitter is a service, not a right. KayLie spreading disinformation and lies about Biden while working at the White House is a Hatch Act violation, against the law! #LawAndOrderBiden http",0,
b,test,"Libertarians, or the Taliban? http be more important to stop trying to provoke a future war with China, as that would be globe destroying. http",0,
b,test,"@user @user @user @user BLM supporters are convulsing and kvetching over the fact that these terrorists aren't right wing Trump supporters.  They cannot come up with a single fact other than hyperbole about ""militias are all on the right""",0,
b,test,"@user Yes, when a reporter highlights the issue you’re desperately dodging, the smart thing to do is to loudly call attention to it.[NEWLINE][NEWLINE]Reporters don’t have the facts on Trump’s last negative test, thanks for screaming about it.",0,
b,test,President Elect Joe Biden [NEWLINE]                                      and [NEWLINE]            Vice President Elect Kamala Harris[NEWLINE][NEWLINE]                           Sounds so nice.,0,
b,test,@user @user Pence is the Fly to irritate humans to death,0,
b,test,"DoJ labels New York, Portland and Seattle 'anarchist jurisdictions'[NEWLINE][NEWLINE]This President wants his errand boy Barr to DEFUND cities?[NEWLINE]Ironically if those cities quit paying taxes we might be able to defund DOJ![NEWLINE]It’s time for a new POTUS &amp; AG![NEWLINE]#VoteBlue2020  http",0,
b,test,Regrets! Just wasted 20 valuable weekend minutes watching #chriswallace Can’t get this time back. Live and learn. #foxnewslib  Attacking @user about @user   #Trump2020 @user @user @user,0,
b,test,@user Why is always Trump with you guys. I can't stand Trump. That doesn't mean that I going to let Harris get a free pass.,0,
b,test,@user @user @user @user Joe Biden the Alzheimer’s patient and the giggling so called “black” woman.  Homey never lived in the hood brother she grew up in Montreal.  The devil doesn’t even like Kamala....wait what did u say 4 years ago???  Not my effin President.  GOTCHA BIG BOY!,1,
b,test,This is a fresh response from #Bidencampaign It's a great way to respond to the tax dodging and military dodging current president. #BidenHarris2020 #wontbealandslide #TrumpTaxReturns #ivankachinamadeshoes #COVID19 http,0,
b,test,🚨🚨This NYTimes story isn't even trending but it's one of the BIGGEST stories out right now 🚨🚨[NEWLINE][NEWLINE]Make sure you read it and share it!![NEWLINE][NEWLINE]Please RT the thread[NEWLINE][NEWLINE]👇👇👇👇👇👇[NEWLINE][NEWLINE]#TrumpCrimeFamily #BidenHarris2020 http,1,
b,test,@user @user We need #Leadership #BidenHarris2020 #VoteBlue2020 http,0,
b,test,"@user Yeah, well Americans are going to distance ourselves from Republicans #BlueWave2020 #BidenHarris2020 #gtfogop #boom http",0,
b,test,"Look at this comparison of #JobGrowth numbers of the past presidents, going back decades. [NEWLINE][NEWLINE]#Trump has LOST jobs during his presidency because he lied about COVID and ruined our economy.[NEWLINE][NEWLINE]Trump is not up to the job of being president.[NEWLINE][NEWLINE]#JoeBiden is! #BidenHarris2020 http",0,
b,test,"If you are okay with being dependent on a system you hate called SOCIALISM where the government decides for you and you are stuck ... vote for #BidenHarris.[NEWLINE][NEWLINE]If you get it that independence is freedom, and American jobs and opportunity is how to do that ... vote for #Trump2020.",0,
b,test,@user People want respect for our Constitution and the Office of the President of the United States.  The anthem and the flag are simply symbols of our democracy.  You have spit on our values since the day you announced running for office. #NFL players support our values. #BidenHarris,0,
b,test,@user Same team.[NEWLINE] [NEWLINE]#Trump2020,0,
b,test,@user @user This is a lie. Texas Republicans are currently sueing to end ACA that protects preexisting conditions and they have no plan to replace it. Ted voted yes to repeal ACA in 2016. John McCain voted no and saved it. #BidenHarris2020,0,
b,test,@user Unf*** believable...😡[NEWLINE][NEWLINE]#TrumpKnewAndDidNothing [NEWLINE]#TrumpVirusDeathToll210K [NEWLINE][NEWLINE]#BidenHarris2020[NEWLINE]#BlueWave,0,
b,test,@user Who can say they've donated their salaries for a greater cause than themselves?? I didn't think so.....#Trump2020,0,
b,test,Trump must have stock in Regeneron 🤦🏾‍♂️,0,
b,test,@user For once I agree with Donnie 😉[NEWLINE]#Biden2020 http,0,
b,test,"@user This is going to send a surge of energy,  hope and determination across America! We can’t rest till our President @user is re-elected! #Trump2020 #MAGA #Veterans4Trump #PAforTrump http",0,
b,test,😴Joe will b in Hospital by Nov3  🚑- he is in no condition to do anything. 🏴‍☠️ ‘They may give him a shot for the debate 🏴‍☠️- but doubt there will be one  - even then he wont last- it would expose him to the dems who still dont know how bad it is 🇺🇸 #Trump2020 http,0,
b,test,My #ForeverFLOTUS with a word about the upcoming election. Take the 27 minutes or so and watch the entire speech. #YourVoteYourVoice #YourVoteMatters #BidenHarris2020 http,0,
b,test,"@user 1) Even if Trump loses big and then immediately dies, the GOP will not reverse their descent into madness in time for primary season 2024.[NEWLINE][NEWLINE]2) Even if they nominate the ghost of John McCain, the seal is broken; the pressure on NEJM+the like to endorse Biden will be huge.",0,
b,test,"@user @user Not good,  Democrats don't give a fuck about Biden, they  much prefer Kamala. Democrats will line up to impeach Joe. Win/win for them.",1,
b,test,Who won the debate today?[NEWLINE]#MAGA #Trump #Patriots #AmericaFirst #KAG #magamedia #MAGA2020 #PatriotsUnited #GodBlessAmerica #Trump2020 #BLMprotest #TrumpLandslideVictory2020 #BLM #JoeBiden #JoeBidenIsTheSwamp #LiberalismIsAMentalDisorder #2020Election #2020PresidentialDebate,1,
b,test,"@user I'm in, Rev. #BidenHarris2020",0,
b,test,Such “very fine people” speaking for Trump? http,0,
b,test,"Tried to have a chat with a conservative, it’s impossible. Trying to reason about basic human rights is pointless. I long for a world where ppl shouldn’t have to fight for kindness, human decency, equality &amp; what I can do with my own damn body. #BidenHarris2020 #notarepublican",0,
b,test,"@user @user @user @user Says a dolt who retweets Trump and James Woods.[NEWLINE][NEWLINE]If they are your moral compass, you have bigger problems than worrying about Biden. God bless.[NEWLINE][NEWLINE]#TrumpMeltdown[NEWLINE]#TrumpIsALaughingStock [NEWLINE]#BidenHarris2020",0,
b,test,"Jacksonville residents, do you want people in our city government that align with a trump sycophant who was willing to expose us to Covid for political gain? Or do you want effective change by people that will work for you? [NEWLINE]Vote out all the people that associate with this guy👇 http",1,
b,test,Trump rally. All inclusive. #TrumpRally #trump2020 @user @user @user @user @user http,0,
b,test,@user @user You know what it is! I love this photo! They are dope 🔥🔥[NEWLINE]#BidenHarris2020 #BidenHarrisToSaveAmerica http,0,
b,test,"Joe Biden, Kamala Harris Got a Big Social Media Boost from Indian Troll Farms http",0,
b,test,twatter man wiping clean all stories/anti trump stories. thats why its down. congress and 1st amendment coming for twatterman !,0,
b,test,"It occurs to me that without Covid, Trump could very well be cruising to reelection. That's how racist this country is.",0,
b,test,"@user @user You really are a shameless and unrepentant #liar. If you can look in the mirror without throwing up on your shoes, I’d be surprised. #ShutUp. #BidenHarris2020",0,
b,test,@user It’s today! The day I go to the polls and vote for Joe Biden and Kamala Harris 😌,0,
b,test,@user @user @user @user @user @user @user Joe Biden and his bitch Kamala Harris are bad for America and the World! Recount the 2020 votes by hand under court supervision!,1,
b,test,Avengers Assemble baby!! Some of the Avengers Will Reunite for Joe Biden and Kamala Harris http,0,
b,test,Trump had made a promise and he had broke it.[NEWLINE]Biden will have a plan and he will keep the wheel rolling at the start of his presidency and beyond. #BidenHarris2020,0,
b,test,"Joe Biden has an Economic plan to help all Americans.[NEWLINE][NEWLINE]Biden will not raise taxes on anyone making less than $400,000. He *will* raise the top individual income rate back to 39.6 percent.[NEWLINE][NEWLINE]See more of Joe's ideas here: http",0,
b,test,For all Patriots ! 🇺🇸 [NEWLINE]Drop your Twitter handles and Retweet!! Follow everyone who follows you! Let’s all grow together as digital soldiers ! 🇺🇸 ⭐️ [NEWLINE]#MAGA #Trump2020 #Trump2020Landslide,0,
b,test,@user I’ve never seen our country in worse straights.  Even during war or depression we had confidence in our leaders. There were statesmen in office.  No longer. We need to get rid of the Republican President &amp; Senate! #VoteBlue2020,0,
b,test,Voting 101 in case you don't know how/where/etc. Covers early voting and voting by mail. http  No paywall. #Biden2020,0,
b,test,Just another day in the press room. #VoteBlue2020 http,0,
b,test,"For the love of God, MSM and the left, no one cares about POTUS taxes!!! He has donated his salary for the last 4 years!! Can any democratic politician or president say the same...NOPE! #ENOUGHISENOUGH #Trump2020  #WalkAwayFromDemocratsForever #DemocratsAreDestroyingAmerica",0,
b,test,"I will now sit back, enjoy the rest of my twitter feed, block liberal bleeding turdwhipes of all shapes, sizes, religions and ethnicities ... and when November 3 comes, I will vote Republican down the whole ticket #MAGADragTheInterstate #MAGA2020[NEWLINE]#TurnAmericaRed2020",1,
b,test,@user DEMOCRATS TRIED TO STOP TRUMP FROM BRINGING OUR TROOPS HOME *THIS YEAR*. [NEWLINE][NEWLINE]#COVID19 #Trump2020,0,
b,test,#OperationFlagDrop[NEWLINE]#Trump2020 [NEWLINE]#TurnNYred[NEWLINE]@CRANewYorkState[NEWLINE]Flags have been used in wartime for centuries...now we fly our flag because of our war with the RADICAL LEFT. Filmed &amp; Edited by Dylan Roth[NEWLINE]https://t.co/AIDbtnlvFk,0,
b,test,"IM ALMOST AT 1000 followers! YaY! [NEWLINE][NEWLINE]I love all the patriots who follow me! You all are incredible and I couldn’t ask for better people to call my bothers and sisters! Whether your in America or not, this patriot loves you!  [NEWLINE][NEWLINE]Let’s turn America Red! #Trump2020",0,
b,test,My son Steven worked at Fillmore's when he was in highschool.  Fillmore's also sponsored his little league baseball team.  Sorry I don't live in NKY anymore Amy so I can't vote for you but I have donated to your campaign.  [NEWLINE]#DitchMitch2020 [NEWLINE]#VoteBlue2020 http,0,
b,test,"@user @user You have the best ""news"", lol. #TRUMP2020",0,
b,test,@user Joe Biden is compromised. Special counsel!!!,0,
b,test,"@user Nope, keep on campaigning Joe.[NEWLINE]#Biden2020",0,
b,test,"While we are here, this type of BS is what Kamala Harris and Joe Biden call ""science"".",0,
b,test,@user @user This is the first time we've ever had a president this lacking in political and social decorum #Debates2020 #BidenHarris2020 #VoteHimOut2020,0,
b,test,But Biden needs to ban fracking. It's destroying our drinking water. Pence lies. http,0,
b,test,@user is the most ignorant racist person. Anyone who supports @user is a complete moron! #trump2020 #ThatsMyPresident 🇺🇸🇺🇸🇺🇸 http,1,
b,test,"@user The airlines got a tax payer bail out, after begging Trump to keep them paid, employed, and insured during shutdown.  No where does it say no snacks or water.",0,
b,test,Thanks @user for the flag #MAGA2020 http,0,
b,test,.@peterbakernyt has covered four presidents. Got to think that this might be one of the craziest day stories he ever wrote. http,0,
b,test,@user Trump didn’t get Putin’s memo that hunter did nothing wrong.,0,
b,test,@user .[NEWLINE]Everyone Must 📌 Register. @user 🇺🇸[NEWLINE]📌 Confirm the accuracy of your voter information.[NEWLINE]Encourage friends &amp; family to do the same. 🇺🇸[NEWLINE]📌Vote #Vote Early! #USA 🇺🇸 @user [NEWLINE]#VoteBlue2020 📍 #VoteBidenHarrisToSaveAmerica 🇺🇸 http,0,
b,test,Violent threats against Biden and his supporters are getting worse[NEWLINE][NEWLINE]by @user [NEWLINE][NEWLINE] http,0,
b,test,Hoping it over?! Can I check.... BIDEN|HARRIS POTUS ELECT  #46 MR JOE BIDEN and VP ELECT  KAMALA HARRIS #election #Elections2020 #USAelection2020 #USElectionResults #BidenHarrisToEndThisNightmare,0,
b,test,"Time sure tells the true meaning of everything, Joe Biden, Kamala Harris and the Democrat party are abt to go into extinction",0,
b,test,Left-wing group Justice Democrats has done an ad trying to persuade disillusioned anti-Biden/anti-all-of-the-above lefties to vote for lesser-of-two-evils Joe Biden. http,0,
b,test,"#KamalaHarris should ask #MikePence, who does #Trump owe $400,000,000.00 to? And the answer is: What are #RussianOligarchs via #DeutscheBank? Just guessing! #Jeopardy #VoteHimOut #VoteBlueToEndThisNightmare #BidenHarris2020 #BidenHarrisLandslide2020 #BidenHarris2020ToSaveAmerica",0,
b,test,@user #MAGA2020. God Bless Our President and First Lady!!,0,
b,test,Crazy fake news tweets all over Twitter about President Trump violating the #HatchAct from Democrat idiots who clearly never read the Hatch Act where it says “the President and Vice President are totally exempt from the Hatch Act” #trump #MAGA2020LandslideVictory,1,
b,test,Joe Biden and Kamala Harris have both updated their Twitter bios to reflect their newest titles: president-elect and vice president-elect. http,0,
b,test,Former President Barack Obama says he “could not be prouder” to congratulate President-elect Joe Biden and Vice President-elect Kamala Harris. http,0,
b,test,Who's ready for the debate tonight? #trump2020 #TRUMP2020ToSaveAmerica http,0,
b,test,"He's holding the economy hostage and hoping he can verbally bribe you into voting for him.[NEWLINE][NEWLINE]He lies in every sentence. ""Pelosi not negotiating in good faith,"" means HE isn't negotiating in good faith.[NEWLINE][NEWLINE]Don't be fooled. #VoteBidenHarris2020 #VoteBlueToSaveAmerica #BidenHarris2020 http",0,
b,test,I would very much like a Pop &amp; Momala tee #BidenHarris2020 http,0,
b,test,"@user @user @user We agree with #Pence! The MAJORITY of Americans dead from #covid are #Florida voters who tried to copy #Trump not wearing a mask! They are ""pathetic"" for not having the superior medical surveillance He has! We like voters who DON'T die![NEWLINE][NEWLINE]#TrumpPence2020!",0,
b,test,"@user Kamala. Boy I wanted you as President, but this will do.  You go girl.  Us two here are coveringShut them down covering your back.  With you being so forthright and Joe with his experience I know the two of you will quickly discourage Proud Boys and Poor Boys hehehe.",0,
b,test,"The United States of America is being held hostage by a mad man by the name of Donald Trump. I am so grateful to our neighbor's Canada, also the United Kingdom, France, Australia and supporters around the world. We will take our country back!  Long live freedom! http",1,
b,test,Guess what? I don't believe you. #Debates2020 #Trump2020 #FakeNewsMedia http,0,
b,test,@user 🤔..ya cuz Democrats are so much better.. #dumbass #trump2020 http,1,
b,test,"@user he has already had his fare share of time to prove his worth.[NEWLINE][NEWLINE]he did nothing productive is his first 47 years, and he is worse now than ever.[NEWLINE][NEWLINE]if your reading this, giving people second chances is a part of life, giving someone a 48th chance isn't a thing. so don't.[NEWLINE][NEWLINE]#trump2020",0,
b,test,@user I feel calm and optimistic.[NEWLINE]Joe and Kamala will win the popular vote and the electoral vote. [NEWLINE][NEWLINE]trump will soon vanish.,0,
b,test,This is so amazing 👏🏻👏🏻👏🏻 #GodBlessPresidentTrump 🇺🇸🙏🏼🇺🇸🙏🏼🇺🇸🙏🏼🇺🇸🙏🏼🇺🇸 what a welcome. #Trump2020 http,0,
b,test,The Guardian commentary keeps on giving:[NEWLINE]https://t.co/F0IVGsigp5 http,0,
b,test,@user @user @user You should stick to acting! #MAGA2020,0,
b,test,@user @user @user Thank you President Obama!  Thank you for helping out your good friend Joe and Kamala![NEWLINE][NEWLINE]Thank you!! You &amp; Michelle ROCK!!!,0,
b,test,The man is the President we need at this time in history. [NEWLINE][NEWLINE]#BidenHarris2020[NEWLINE][NEWLINE]https://t.co/rnikl4ne7P,0,
b,test,It's amazing when white women in the suburbs see each other wearing the #Trump2020 gear.  Instant friends.,0,
b,test,I guess theses “actors” will do anything to win! So sad .... this is quite gross to look at! 😂 #Trump2020Landslide #Trump2020 #CancelDemocrats #LiberalDemocratsAreAJoke http,0,
b,test,Be Smart. #VoteTrumpOut2020 #VoteThemAllOut2020 #VoteBidenHarris2020 #VoteBlue2020 http,0,
b,test,"@user @user Hell they want to assassinate him even if he don't ...the Whole thing this is about ,is not Joe Biden ....it's Kamala Harris and Nasty Nancy P...let that sink in....🤔🤔🤔🤔",1,
b,test,"@user @user The  View should not even be allowed on TV!  Useless show![NEWLINE]Cali Kamala is a big mouth witch! Make sure to ask her what she did for California!  Oh yeah, nothing, California going down the toilet![NEWLINE]Sleepy Joe useless!",1,
b,test,ALOHA! ~ Maui shows their support for President Trump🌴 #2020TrumpLandslide #TrumpPence2020 @user @user http,0,
b,test,We all knew he had an earpiece.. [NEWLINE][NEWLINE]#DemocratsAreDestroyingAmerica #Trump2020 #Biden #BidenDementia #VoteRedToSaveAmerica #VoteRed2020 http,1,
b,test,"Trump downplayed a pandemic, mocked face masks and refused to endorse the measures needed to save lives.   He is complicit in the death of over 200,000 Americans.   Vote because lives depend on it #VOTE http",0,
b,test,"Just found a thumb drive in a rest-stop bathroom that contains signed confessions from Donald Trump &amp; Donald Trump Jr., in which both admit to being Russian agents.[NEWLINE][NEWLINE]@maggieNYT: Please retweet this ASAP.",0,
b,test,"""Tax records expose more than $21 million in highly unusual payments from the Las Vegas hotel Donald Trump owns with Phil Ruffin, routed through other Trump companies and paid out in cash.""[NEWLINE]https://t.co/BazSlui8bK",0,
b,test,@user Who's confused? #BidenHarris2020 simple,0,
b,test,@user I just voted!! Media not corrupt. The White House and it's occupants are! #BidenHarrisToSaveAmerica [NEWLINE]#VoteBlue2020,0,
b,test,Something I actually agree with @user about.  It will be the end of the GOP (whether Biden wins or not). http,0,
b,test,@user We ALL wanted to see #BidenHarris2020,0,
b,test,@user @user I hope more of the Conservatives/Republicans (and other sleeping moderates) realize that WE ARE AT WAR TO SAVE THE USA and to save the US Constitution as it was written!!!! #freedom #ScamdemicIsOver #DemocratsTheEnemyWithin #DemocratsHateAmerica #DemocratsAreCorrupt #MAGA2020,0,
b,test,"Bruh, it’s hilarious and all, but we both know that you’re a joke as is your liberal party. You will lose this time like always. #MAGA2020 #SCOTUSnominee #LANDSLIDE #KeepAmericaGreat #Landslide2020 #MAGA2020LandslideVictory #MakeAmericaGreatAgain #SilentMajority #Trump2020 http",0,
b,test,@user They are scared. #JoeBidenIsTheSwamp #Trump2020,0,
b,test,"@user @user Why did Senators and Congress vote loopholes in that President Trump was able to use?  Did he find the loopholes they put in for their wealthy donors? We need someone smart enough to find the loopholes,  not previous Senators dumb enough to put them in the tax law. #VoteRed2020",0,
b,test,I’m watching Harry Potter series and realized Draco Malfoy reminds me of Donald Trump Jr. http,0,
b,test,Just had to listen to an old white clerk defend himself against a white male customer drinking wine about his endorsement of Biden. The customer said if you vote for Trump you won't have to work a job like this anymore. [NEWLINE][NEWLINE]I've been working here 10 years,0,
b,test,@user #JoeHidden A career politician millionaire🤔 I had no idea it paid that well🤣 #MAGA2020,0,
b,test,@user Definitely in my thoughts.  #BidenHarris2020,0,
b,test,@user uses military people who have risked death as props. Now he's using a virus that he allowed to kill 204K of us and counting as a prop.[NEWLINE][NEWLINE]Vote him and his crime family out. #Biden2020,1,
b,test,"@user said he’s voting for Biden. Ben, you do realize you’re talking to people in a state that supports Trump by about 70%, right?",0,
b,test,"@user @user You’re right! [NEWLINE][NEWLINE]Here in Wyoming we only had three options, thankfully Kanye wasn’t one. But they did put the Republican Party first... I too made sure to solidly vote blue #BidenHarris2020",0,
b,test,If Trump does survive he can thank socialized medicine. #TrumpCovid19 #Trump2020,0,
b,test,"#Trump2020 #DebateEdition [NEWLINE][NEWLINE]#Covid_19 (continuing): [NEWLINE][NEWLINE]NOT to be a glorious YES person BUT TO OPTIMISE THE SITUATION IN BEST BIG PICTURE INTEREST (no matter how difficult the boss is).  The only other option (if tht boss is oh so not workable) 👉 RESIGN. [NEWLINE][NEWLINE]Am i right? So, how come",0,
b,test,@user This is being held at the same time we are expecting Kamala Harris and Joe Biden to speak this evening.,0,
b,test,"@user @user So he doesn't actually have COVID, does he? It's all a publicity stunt, to gain sympathy and pull attention from Melania's ""f**k Christmas"" tape. #VoteBlue2020 #TrumpVirusDeathToll210K",0,
b,test,@user Continuing to spread coronavirus #BidenHarris2020,0,
b,test,"@user More damage, for sure! #BidenHarris2020",0,
b,test,Interesting fact: This is the first time in history voter fraud is the only campaign strategy taken by one side in a Presidential race. True! #MAGA2020 🇺🇸🇺🇸🇺🇸,0,
b,test,Last 4the night! #BidenHarris2020 #fbr RT[NEWLINE]@Kelleyrose20🪁[NEWLINE]@rubysoho26 🪁[NEWLINE]@ReverendWarnock 🪁[NEWLINE]@AllMight85 🪁[NEWLINE]@GShelia1951 🪁[NEWLINE]@samdu7280 🪁[NEWLINE]@wildkat57 🪁[NEWLINE]@hammerit54 🪁[NEWLINE]@timinator2006 🪁[NEWLINE]@RelierLesPoints 🪁[NEWLINE]@Girl12Philly 🪁[NEWLINE]@0000Phe0000 🪁 #FBR RT,0,
b,test,"36 more days. Florida, Pennsylvania, Ohio, Michigan, North Carolina, Arizona, Wisconsin and Iowa. We need you more than ever. Our democracy depends on you.                                                                    #VoteEarly #VoteInPerson2020 #VoteBlue2020 #VoteHimOut",0,
b,test,I want this for my new yard sign.[NEWLINE]#BidenHarris2020 #VoteBlue2020 #Kamala http,0,
b,test,@user Y’all have promised this before... we’re gonna hold you to it this time around #Trump2020,0,
b,test,"I bet the mob won't be directed to burn down the CDC building by their leaders, Curious.🤔[NEWLINE]#Trump2020[NEWLINE]#GodWins[NEWLINE]https://t.co/DVCgqYogjK",0,
b,test,"YOU GOT JOE BIDEN AND KAMALA HARRIS THAT WANT TO HURT PEOPLE WITH DRUGS BY MAKING THEM LEGAL,[NEWLINE][NEWLINE]ENCOURAGE YOUNG WOMEN TO BE IRRESPONSIBLE AND UNCARING BY MAKING ABORTION LEGAL NATIONWIDE,[NEWLINE][NEWLINE]AND GLORIFY IMMORALITY WHICH IS AN ABOMINATION BEFORE GOD.[NEWLINE][NEWLINE]BIDEN AND HARRIS[NEWLINE]REMAIN STAGNATE",0,
b,test,@user Oh this is what heroin does to a brain[NEWLINE][NEWLINE]#Trump2020,0,
b,test,The Democrat Party is in full meltdown! They lost the Supreme Court; they nominated a zombie and backed him up with a woman laughing about smoking pot after having incarcerated thousands of blacks for minor drug offenses while not prosecuting connected people! #Trump2020 http,1,
b,test,"Help Twitter Fam, I need 50 more FOLLOWERS to get to 1000 !! #WeVapeWeVote #Trump2020",0,
